median;mean;std;rxns;;;;;;;
0;0;0;_BORNEOL_DEHYDROGENASE_RXN_c;0;;;0.091861117;0.007655093;12;Sucrose_tx
0;0;0;_NEOMENTHOL_DEHYDROGENASE_RXN_c;0;;;2.30704E-05;5.76761E-06;4;ASN_tx
0;0;0;__MENTHOL_DEHYDROGENASE_RXN_c;0;;;0.019755188;0.003951038;5;GLN_tx
0;0;0;1_1_1_141_RXN_c;0;;;0.111639376;;;
0;0;0;1_1_1_170_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_170_RXN_NAD_c;0;;;;;;
0;9.02E-06;8.83E-05;1_1_1_178_RXN_m;0;;;;;;
0;0;0;1_1_1_210_RXN_c;0;;;;;;
0;0;0;1_1_1_248_RXN_c;0;;;;;;
0;3.86E-05;0.000464144;1_1_1_255_RXN_c;0;;;;;;
0;0;0;1_1_1_268_RXN_c;0;;;;;;
-8.75E-05;-8.76E-05;8.69E-07;1_1_1_271_RXN_c;-0.000783959;;;;;;
0;0;0;1_1_1_285_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_285_RXN_NAD_c;0;;;;;;
0;0;0;1_1_1_288_RXN_c;0;;;;;;
0;1.99E-13;1.23E-11;1_1_1_34_RXN_c;0;;;;;;
0;1.89E-05;0.000347934;1_1_1_39_RXN_c;0;;;;;;
0;0;0;1_1_1_51_RXN_NAD_c;0;;;;;;
0;2.01E-05;0.000486868;1_1_1_8_RXN_c;0;;;;;;
0;0;0;1_1_3_37_RXN_c;0;;;;;;
0.02657879;0.025904224;0.001104719;1_10_2_2_RXN_m;0.238077196;;;;;;
0;0;0;1_14_11_18_RXN_c;0;;;;;;
0;0;0;1_14_11_20_RXN_c;0;;;;;;
0;0;0;1_14_13_117_RXN_c;0;;;;;;
0;0;0;1_14_13_118_RXN_c;0;;;;;;
0;0;0;1_14_13_36_RXN_c;0;;;;;;
0;0;0;1_14_13_42_RXN_c;0;;;;;;
0;0;0;1_14_13_70_RXN_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_73_RXN_c;0;;;;;;
0;0;0;1_14_13_77_RXN_c;0;;;;;;
0;0;0;1_14_13_78_RXN_c;0;;;;;;
0;0;0;1_14_13_79_RXN_c;0;;;;;;
0;0;0;1_14_13_8_RXN_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_93_RXN_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NADP_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NAD_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NADP_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NAD_c;0;;;;;;
-0.002169789;-0.002240611;0.000388562;1_18_1_2_RXN_p;-0.0194357;;;;;;
0;0;0;1_2_1_1_RXN_c;0;;;;;;
0;0;0;1_2_1_13_RXN_p;0;;;;;;
0;2.08E-05;9.50E-05;1_2_1_2_RXN_m;0;;;;;;
0;9.93E-07;2.42E-05;1_2_1_2_RXN_p;0;;;;;;
0;2.05E-05;0.000150226;1_2_1_25_RXN_m;0;;;;;;
0;0;0;1_2_1_42_RXN_c;0;;;;;;
0;0;0;1_2_1_65_RXN_c;0;;;;;;
0;0.000193286;0.00070834;1_2_1_9_RXN_c;0;;;;;;
0;0;0;1_2_3_14_RXN_c;0;;;;;;
0;4.31E-05;0.000210334;1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m;0;;;;;;
0;1.37E-15;1.02E-13;1_3_1_2_RXN_c;0;;;;;;
0;0;0;1_3_7_4_RXN_c;0;;;;;;
6.06E-05;6.06E-05;6.74E-07;1_5_1_20_RXN_c;0.000542565;;;;;;
0;0;0;1_5_1_25_RXN_NADP_c;0;;;;;;
0;0;0;1_5_1_25_RXN_NAD_c;0;;;;;;
0;2.13E-05;0.000492782;1_5_1_7_RXN_c;0;;;;;;
0;-4.26E-05;0.000519568;1_5_1_8_RXN_c;0;;;;;;
0;2.13E-05;0.000167406;1_5_1_9_RXN_c;0;;;;;;
0;7.07E-05;0.000373981;1_5_5_1_RXN_m;0;;;;;;
0;4.71E-06;8.35E-05;1_6_5_4_RXN_x;0;;;;;;
0;0;0;1_8_3_5_RXN_c;0;;;;;;
0.000196412;0.000202724;5.99E-05;1_8_4_9_RXN_p;0.001759344;;;;;;
0;2.81E-05;0.000217021;1_8_5_1_RXN_c;0;;;;;;
0;0;0;1_8_5_1_RXN_m;0;;;;;;
0;1.18E-05;0.000129007;1_8_5_1_RXN_p;0;;;;;;
0;5.85E-06;9.12E-05;1_8_5_1_RXN_x;0;;;;;;
-8.69E-05;-0.000109252;0.000121979;10_FORMYL_THF_pc;-0.000778581;;;;;;
0;0;0;12_ALPHA_L_FUCOSIDASE_RXN_c;0;;;;;;
0;0;0;12_OXOPHYTODIENOATE_REDUCTASE_RXN_c;0;;;;;;
-0.002638316;-0.002807584;0.000539351;1TRANSKETO_RXN_p;-0.023632484;;;;;;
0;2.13E-05;0.000167406;2_AMINOADIPATE_AMINOTRANSFERASE_RXN_c;0;;;;;;
0;0;0;2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN_c;0;;;;;;
0;1.78E-13;1.08E-11;2_DEHYDROPANTOATE_REDUCT_RXN_c;0;;;;;;
0;0;0;2_HEXADECENAL_REDUCTASE_RXN_c;0;;;;;;
0;0;0;2_HYDROXYBIPHENYL_3_MONOOXYGENASE_RXN_c;0;;;;;;
0.000410268;0.000428437;0.00013066;2_ISOPROPYLMALATESYN_RXN_p;0.003674939;;;;;;
0;2.13E-05;0.000167406;2_KETO_ADIPATE_DEHYDROG_RXN_m;0;;;;;;
0.000244664;0.000413275;0.000618455;2_KETOGLUTARATE_xc;0.002191559;;;;;;
0;9.02E-06;8.83E-05;2_MEBUCOA_ETF_RXN_m;0;;;;;;
0;0;0;2_OCTAPRENYL_6_OHPHENOL_METHY_RXN_c;0;;;;;;
0;0;0;2_OCTAPRENYLPHENOL_HYDROX_RXN_c;0;;;;;;
0;0;0;2_1_1_103_RXN_c;0;;;;;;
0;0;0;2_1_1_114_RXN_c;0;;;;;;
0;0;0;2_1_1_121_RXN_c;0;;;;;;
0;0;0;2_1_1_139_RXN_c;0;;;;;;
0;0;0;2_1_1_140_RXN_c;0;;;;;;
0;0;0;2_1_1_142_RXN_c;0;;;;;;
0;0;0;2_1_1_143_RXN_c;0;;;;;;
0;0;0;2_1_1_145_RXN_c;0;;;;;;
0;0;0;2_1_1_146_RXN_c;0;;;;;;
0;0;0;2_1_1_64_RXN_c;0;;;;;;
0;0;0;2_1_1_69_RXN_c;0;;;;;;
0;0;0;2_1_1_88_RXN_c;0;;;;;;
0;0;0;2_3_1_103_RXN_c;0;;;;;;
0;0;0;2_3_1_133_RXN_c;0;;;;;;
0;0;0;2_3_1_150_RXN_c;0;;;;;;
0;0;0;2_3_1_151_RXN_c;0;;;;;;
0;0;0;2_3_1_156_RXN_c;0;;;;;;
0;0;0;2_3_1_160_RXN_c;0;;;;;;
0;0;0;2_3_1_162_RXN_c;0;;;;;;
0;0;0;2_3_1_167_RXN_c;0;;;;;;
0;0;0;2_3_1_172_RXN_c;0;;;;;;
0;0;0;2_3_1_179_RXN_c;0;;;;;;
0.001131971;0.001152724;7.10E-05;2_3_1_180_RXN_p;0.010139536;;;;;;
0;0;0;2_3_1_99_RXN_c;0;;;;;;
0;9.41E-06;0.000186678;2_4_1_111_RXN_c;0;;;;;;
0;0;0;2_4_1_114_RXN_c;0;;;;;;
0;0;0;2_4_1_121_RXN_c;0;;;;;;
