median;mean;std;rxns;;;;;;;
0;0;0;_BORNEOL_DEHYDROGENASE_RXN_c;0;;;0.126338917;0.010528243;12;Sucrose_tx
0;0;0;_NEOMENTHOL_DEHYDROGENASE_RXN_c;0;;;3.47723E-05;8.69307E-06;4;ASN_tx
0;0;0;__MENTHOL_DEHYDROGENASE_RXN_c;0;;;0.032225938;0.006445188;5;GLN_tx
0;0;0;1_1_1_141_RXN_c;0;;;0.158599627;;;
0;0;0;1_1_1_170_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_170_RXN_NAD_c;0;;;;;;
0;1.18E-05;0.000110598;1_1_1_178_RXN_m;0;;;;;;
0;0;0;1_1_1_210_RXN_c;0;;;;;;
0;0;0;1_1_1_248_RXN_c;0;;;;;;
0;4.79E-05;0.000563104;1_1_1_255_RXN_c;0;;;;;;
0;0;0;1_1_1_268_RXN_c;0;;;;;;
-0.000157388;-0.00015752;1.46E-06;1_1_1_271_RXN_c;-0.000992358;;;;;;
0;0;0;1_1_1_285_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_285_RXN_NAD_c;0;;;;;;
0;0;0;1_1_1_288_RXN_c;0;;;;;;
0;-7.88E-13;5.91E-11;1_1_1_34_RXN_c;0;;;;;;
0;1.78E-05;0.000427067;1_1_1_39_RXN_c;0;;;;;;
0;0;0;1_1_1_51_RXN_NAD_c;0;;;;;;
0;0;0;1_1_1_8_RXN_c;0;;;;;;
0;0;0;1_1_3_37_RXN_c;0;;;;;;
0.033590299;0.03221579;0.002598955;1_10_2_2_RXN_m;0.211793053;;;;;;
0;0;0;1_14_11_18_RXN_c;0;;;;;;
0;0;0;1_14_11_20_RXN_c;0;;;;;;
0;0;0;1_14_13_117_RXN_c;0;;;;;;
0;0;0;1_14_13_118_RXN_c;0;;;;;;
0;0;0;1_14_13_36_RXN_c;0;;;;;;
0;0;0;1_14_13_42_RXN_c;0;;;;;;
0;6.22E-14;6.22E-12;1_14_13_70_RXN_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_73_RXN_c;0;;;;;;
0;0;0;1_14_13_77_RXN_c;0;;;;;;
0;0;0;1_14_13_78_RXN_c;0;;;;;;
0;0;0;1_14_13_79_RXN_c;0;;;;;;
0;0;0;1_14_13_8_RXN_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_93_RXN_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NADP_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NAD_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NADP_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NAD_c;0;;;;;;
0.01362893;0.012902846;0.002363005;1_18_1_2_RXN_p;0.085932924;;;;;;
0;-1.14E-14;1.14E-12;1_2_1_1_RXN_c;0;;;;;;
0;0;0;1_2_1_13_RXN_p;0;;;;;;
0;2.42E-05;0.000118312;1_2_1_2_RXN_m;0;;;;;;
0;1.19E-06;3.08E-05;1_2_1_2_RXN_p;0;;;;;;
0;2.13E-05;0.000171618;1_2_1_25_RXN_m;0;;;;;;
0;0;0;1_2_1_42_RXN_c;0;;;;;;
0;0;0;1_2_1_65_RXN_c;0;;;;;;
0;0.000452519;0.001205765;1_2_1_9_RXN_c;0;;;;;;
0;0;0;1_2_3_14_RXN_c;0;;;;;;
0;4.12E-05;0.000226126;1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m;0;;;;;;
0;1.77E-14;1.77E-12;1_3_1_2_RXN_c;0;;;;;;
0;0;0;1_3_7_4_RXN_c;0;;;;;;
9.88E-05;9.89E-05;1.11E-06;1_5_1_20_RXN_c;0.000622994;;;;;;
0;0;0;1_5_1_25_RXN_NADP_c;0;;;;;;
0;0;0;1_5_1_25_RXN_NAD_c;0;;;;;;
0;3.00E-05;0.000639988;1_5_1_7_RXN_c;0;;;;;;
0;-5.49E-05;0.000668604;1_5_1_8_RXN_c;0;;;;;;
