median;mean;std;rxns;;;;;;;
0;0;0;_BORNEOL_DEHYDROGENASE_RXN_c;0;;;0.025207235;0.002100603;12;Sucrose_tx
0;0;0;_NEOMENTHOL_DEHYDROGENASE_RXN_c;0;;;6.0351E-06;1.50878E-06;4;ASN_tx
0;0;0;__MENTHOL_DEHYDROGENASE_RXN_c;0;;;0.005989759;0.001197952;5;GLN_tx
0;0;0;1_1_1_141_RXN_c;0;;;0.03120303;;;
0;0;0;1_1_1_170_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_170_RXN_NAD_c;0;;;;;;
0;3.28E-06;3.03E-05;1_1_1_178_RXN_m;0;;;;;;
0;0;0;1_1_1_210_RXN_c;0;;;;;;
0;0;0;1_1_1_248_RXN_c;0;;;;;;
0;1.05E-05;0.000125726;1_1_1_255_RXN_c;0;;;;;;
0;0;0;1_1_1_268_RXN_c;0;;;;;;
-2.84E-05;-2.84E-05;2.56E-07;1_1_1_271_RXN_c;-0.000908916;;;;;;
0;0;0;1_1_1_285_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_285_RXN_NAD_c;0;;;;;;
0;0;0;1_1_1_288_RXN_c;0;;;;;;
0;-1.62E-12;7.60E-11;1_1_1_34_RXN_c;0;;;;;;
0;3.06E-06;6.76E-05;1_1_1_39_RXN_c;0;;;;;;
0;0;0;1_1_1_51_RXN_NAD_c;0;;;;;;
0;8.07E-06;0.000174409;1_1_1_8_RXN_c;0;;;;;;
0;0;0;1_1_3_37_RXN_c;0;;;;;;
0.007635348;0.007452327;0.000298757;1_10_2_2_RXN_m;0.244698934;;;;;;
0;0;0;1_14_11_18_RXN_c;0;;;;;;
0;0;0;1_14_11_20_RXN_c;0;;;;;;
0;0;0;1_14_13_117_RXN_c;0;;;;;;
0;0;0;1_14_13_118_RXN_c;0;;;;;;
0;-3.60E-14;3.60E-12;1_14_13_36_RXN_c;0;;;;;;
0;0;0;1_14_13_42_RXN_c;0;;;;;;
0;1.31E-13;7.66E-12;1_14_13_70_RXN_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_73_RXN_c;0;;;;;;
0;0;0;1_14_13_77_RXN_c;0;;;;;;
0;0;0;1_14_13_78_RXN_c;0;;;;;;
0;0;0;1_14_13_79_RXN_c;0;;;;;;
0;0;0;1_14_13_8_RXN_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_93_RXN_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NADP_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NAD_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NADP_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NAD_c;0;;;;;;
-0.000509704;-0.000527528;0.000105353;1_18_1_2_RXN_p;-0.016335083;;;;;;
0;0;0;1_2_1_1_RXN_c;0;;;;;;
0;0;0;1_2_1_13_RXN_p;0;;;;;;
0;5.14E-06;2.45E-05;1_2_1_2_RXN_m;0;;;;;;
0;2.46E-07;6.16E-06;1_2_1_2_RXN_p;0;;;;;;
0;8.28E-06;5.39E-05;1_2_1_25_RXN_m;0;;;;;;
0;0;0;1_2_1_42_RXN_c;0;;;;;;
0;0;0;1_2_1_65_RXN_c;0;;;;;;
0;2.10E-05;0.000117852;1_2_1_9_RXN_c;0;;;;;;
0;0;0;1_2_3_14_RXN_c;0;;;;;;
0;1.31E-05;6.89E-05;1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m;0;;;;;;
0;1.63E-14;1.36E-12;1_3_1_2_RXN_c;0;;;;;;
0;0;0;1_3_7_4_RXN_c;0;;;;;;
1.84E-05;1.84E-05;2.04E-07;1_5_1_20_RXN_c;0.000588544;;;;;;
0;0;0;1_5_1_25_RXN_NADP_c;0;;;;;;
0;0;0;1_5_1_25_RXN_NAD_c;0;;;;;;
0;1.21E-05;0.000212772;1_5_1_7_RXN_c;0;;;;;;
0;-1.92E-05;0.000218741;1_5_1_8_RXN_c;0;;;;;;
0;7.17E-06;5.24E-05;1_5_1_9_RXN_c;0;;;;;;
0;2.48E-05;0.000119357;1_5_5_1_RXN_m;0;;;;;;
0;1.55E-06;2.50E-05;1_6_5_4_RXN_x;0;;;;;;
0;0;0;1_8_3_5_RXN_c;0;;;;;;
5.95E-05;6.09E-05;1.42E-05;1_8_4_9_RXN_p;0.001908438;;;;;;
0;7.15E-06;5.88E-05;1_8_5_1_RXN_c;0;;;;;;
0;0;0;1_8_5_1_RXN_m;0;;;;;;
0;2.92E-06;3.31E-05;1_8_5_1_RXN_p;0;;;;;;
0;1.77E-06;2.56E-05;1_8_5_1_RXN_x;0;;;;;;
-2.64E-05;-3.20E-05;3.20E-05;10_FORMYL_THF_pc;-0.000844562;;;;;;
0;0;0;12_ALPHA_L_FUCOSIDASE_RXN_c;0;;;;;;
0;0;0;12_OXOPHYTODIENOATE_REDUCTASE_RXN_c;0;;;;;;
-0.000518419;-0.000574796;0.000159934;1TRANSKETO_RXN_p;-0.016614369;;;;;;
0;7.17E-06;5.24E-05;2_AMINOADIPATE_AMINOTRANSFERASE_RXN_c;0;;;;;;
0;0;0;2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN_c;0;;;;;;
0;4.11E-14;2.08E-12;2_DEHYDROPANTOATE_REDUCT_RXN_c;0;;;;;;
0;0;0;2_HEXADECENAL_REDUCTASE_RXN_c;0;;;;;;
0;0;0;2_HYDROXYBIPHENYL_3_MONOOXYGENASE_RXN_c;0;;;;;;
0.000124387;0.000129456;3.95E-05;2_ISOPROPYLMALATESYN_RXN_p;0.003986385;;;;;;
0;7.17E-06;5.24E-05;2_KETO_ADIPATE_DEHYDROG_RXN_m;0;;;;;;
7.42E-05;0.00012168;0.000181273;2_KETOGLUTARATE_xc;0.002377272;;;;;;
0;3.28E-06;3.03E-05;2_MEBUCOA_ETF_RXN_m;0;;;;;;
0;0;0;2_OCTAPRENYL_6_OHPHENOL_METHY_RXN_c;0;;;;;;
0;0;0;2_OCTAPRENYLPHENOL_HYDROX_RXN_c;0;;;;;;
0;-1.77E-15;1.77E-13;2_1_1_103_RXN_c;0;;;;;;
0;0;0;2_1_1_114_RXN_c;0;;;;;;
0;0;0;2_1_1_121_RXN_c;0;;;;;;
0;0;0;2_1_1_139_RXN_c;0;;;;;;
0;0;0;2_1_1_140_RXN_c;0;;;;;;
0;0;0;2_1_1_142_RXN_c;0;;;;;;
0;0;0;2_1_1_143_RXN_c;0;;;;;;
0;0;0;2_1_1_145_RXN_c;0;;;;;;
0;0;0;2_1_1_146_RXN_c;0;;;;;;
0;0;0;2_1_1_64_RXN_c;0;;;;;;
0;0;0;2_1_1_69_RXN_c;0;;;;;;
